Accno	Read Status	5' Contig	5' Position	5' Strand	3' Contig 	3' Position	3' Strand
HTU2KLI03FOK3X	Assembled	contig00009	373	+	contig00009	521	-
HTU2KLI03GCGBO	PartiallyAssembled	contig00038	90	+	contig00038	146	-
HTU2KLI03GF902	Assembled	contig00001	1219	-	contig00001	1070	+
HTU2KLI03HCJ4P	Assembled	contig00004	1109	+	contig00026	17	-
HTU2KLI03HAAWG	Singleton
HTU2KLI03F4QVD	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03F9F2W	Assembled	contig00056	13	-	contig00012	545	+
HTU2KLI03HERIQ	Assembled	contig00002	1380	-	contig00002	1101	+
HTU2KLI03HGXD6	Assembled	contig00022	372	-	contig00022	73	+
HTU2KLI03HCGN6	Assembled	contig00012	545	+	contig00056	27	-
HTU2KLI03GO700	Assembled	contig00001	1320	+	contig00001	1508	-
HTU2KLI03F3QSM	Assembled	contig00002	533	+	contig00002	934	-
HTU2KLI03FQEC5	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03F9TI6	Assembled	contig00033	218	+	contig00026	136	-
HTU2KLI03GDRU4	PartiallyAssembled	contig00022	355	-	contig00022	54	+
HTU2KLI03FQZUE	Assembled	contig00022	343	-	contig00012	633	+
HTU2KLI03HBVU6	Assembled	contig00004	990	+	contig00033	242	-
HTU2KLI03GF0MQ	Assembled	contig00012	545	+	contig00061	5	-
HTU2KLI03F66Q1	Assembled	contig00022	73	+	contig00022	260	-
HTU2KLI03G62XG	Assembled	contig00004	673	-	contig00004	370	+
HTU2KLI03F86AH	Assembled	contig00012	545	+	contig00056	21	-
HTU2KLI03F4RWC	Assembled	contig00001	1506	-	contig00001	1347	+
HTU2KLI03GU4W8	Assembled	contig00004	859	+	contig00033	2	-
HTU2KLI03FXAY7	Assembled	contig00007	456	+	contig00007	573	-
HTU2KLI03FMAR5	Assembled	contig00007	566	-	contig00007	449	+
HTU2KLI03F5HK8	Assembled	contig00012	545	+	contig00056	30	-
HTU2KLI03FRR9G	Assembled	contig00001	337	-	contig00001	144	+
HTU2KLI03G0H9I	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03GGVER	Assembled	contig00013	236	-	contig00013	25	+
HTU2KLI03FUR8R	Assembled	contig00002	533	+	contig00002	729	-
HTU2KLI03G1EU7	Assembled	contig00004	989	+	contig00059	5	-
HTU2KLI03FMHMJ	Assembled	contig00001	555	+	contig00001	725	-
HTU2KLI03GDNS0	Assembled	contig00010	66	+	contig00010	299	-
HTU2KLI03GEL5P	Assembled	contig00022	154	+	contig00022	374	-
HTU2KLI03FJSSN	Assembled	contig00004	247	+	contig00004	635	-
HTU2KLI03GJJRK	Singleton
HTU2KLI03FVVLY	Assembled	contig00004	316	+	contig00004	635	-
HTU2KLI03GQHB8	Assembled	contig00002	1079	+	contig00002	1306	-
HTU2KLI03F9QPS	TooShort
HTU2KLI03FV3S6	Assembled	contig00022	347	-	contig00022	77	+
HTU2KLI03F0SVO	Assembled	contig00002	1149	-	contig00002	969	+
HTU2KLI03G7JNU	Assembled	contig00002	1351	-	contig00002	1281	+
HTU2KLI03F56QW	Assembled	contig00033	215	+	contig00026	139	-
HTU2KLI03FRBVD	Singleton
HTU2KLI03F1CV4	Assembled	contig00004	749	+	contig00004	925	-
HTU2KLI03FZKHB	Assembled	contig00007	449	+	contig00007	563	-
HTU2KLI03GPX15	Assembled	contig00004	877	+	contig00059	5	-
HTU2KLI03G8MX8	Assembled	contig00002	1310	-	contig00002	1098	+
HTU2KLI03GYC2S	Assembled	contig00002	727	-	contig00002	538	+
HTU2KLI03G762T	Assembled	contig00012	545	+	contig00012	640	-
HTU2KLI03GVIE0	Assembled	contig00012	545	+	contig00056	54	-
HTU2KLI03GETT8	Assembled	contig00017	271	+	contig00017	413	-
HTU2KLI03FVMY3	Assembled	contig00001	1506	-	contig00001	1298	+
HTU2KLI03F2N2H	Assembled	contig00033	284	-	contig00033	72	+
HTU2KLI03G6KOR	Assembled	contig00002	824	-	contig00002	537	+
HTU2KLI03GY1JL	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03F8A6X	Assembled	contig00026	262	-	contig00033	216	+
HTU2KLI03G7XJR	Assembled	contig00033	216	+	contig00026	238	-
HTU2KLI03HC0NC	PartiallyAssembled	contig00024	221	-	contig00024	52	+
HTU2KLI03GHBDO	Singleton
HTU2KLI03GNPNM	Assembled	contig00001	417	+	contig00001	735	-
HTU2KLI03GXXA9	Assembled	contig00022	75	+	contig00022	367	-
HTU2KLI03GC47L	Assembled	contig00057	7	+	contig00022	344	-
HTU2KLI03HA9SS	PartiallyAssembled	contig00009	387	-	contig00009	217	+
HTU2KLI03F2Q54	Assembled	contig00010	298	-	contig00010	93	+
HTU2KLI03F0IX0	Assembled	contig00026	2	-	contig00033	75	+
HTU2KLI03GDFH1	Assembled	contig00026	2	-	contig00004	1102	+
HTU2KLI03G18X2	Assembled	contig00022	73	+	contig00022	149	-
HTU2KLI03FLL12	Assembled	contig00012	545	+	contig00056	34	-
HTU2KLI03G33C0	Assembled	contig00004	990	+	contig00033	125	-
HTU2KLI03GFEDQ	Assembled	contig00010	451	+	contig00010	694	-
HTU2KLI03HB9Z4	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03GTBKR	Assembled	contig00022	374	-	contig00022	121	+
HTU2KLI03FIQJ4	Assembled	contig00010	1	+	contig00010	286	-
HTU2KLI03FRYZZ	Assembled	contig00001	1509	-	contig00001	1325	+
HTU2KLI03FWSUY	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03HBCTE	Assembled	contig00002	1078	+	contig00002	1374	-
HTU2KLI03FRF6I	Assembled	contig00004	804	+	contig00004	945	-
HTU2KLI03G9LYK	Assembled	contig00004	995	+	contig00033	124	-
HTU2KLI03FVT85	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03GKMEZ	Assembled	contig00004	1110	+	contig00062	2	-
HTU2KLI03FKXSA	Assembled	contig00022	383	-	contig00022	114	+
HTU2KLI03GKKPD	Assembled	contig00002	489	+	contig00002	731	-
HTU2KLI03G8LVC	PartiallyAssembled	contig00004	989	+	contig00059	1	-
HTU2KLI03FHUEE	Assembled	contig00002	645	+	contig00002	798	-
HTU2KLI03HEVLH	PartiallyAssembled	contig00004	70	+	contig00004	402	-
HTU2KLI03FXDXV	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03GY0O7	Assembled	contig00007	564	-	contig00007	444	+
HTU2KLI03G9SNO	PartiallyAssembled	contig00020	425	-	contig00020	90	+
HTU2KLI03G9R1I	Singleton
HTU2KLI03GNASV	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03GZB8N	Assembled	contig00004	1112	+	contig00033	198	-
HTU2KLI03FQDR8	Assembled	contig00012	640	-	contig00012	545	+
HTU2KLI03F5IPM	Assembled	contig00001	1218	-	contig00001	930	+
HTU2KLI03FJ940	Assembled	contig00022	154	+	contig00022	344	-
HTU2KLI03GI6E5	Assembled	contig00022	344	-	contig00022	75	+
HTU2KLI03G59P3	Assembled	contig00004	10	+	contig00004	259	-
HTU2KLI03FR6OL	Assembled	contig00002	731	-	contig00002	489	+
HTU2KLI03GOIM8	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03GW5Q3	Assembled	contig00012	640	-	contig00012	545	+
HTU2KLI03HDCFE	Assembled	contig00002	650	+	contig00002	831	-
HTU2KLI03GPARK	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03HFTE7	Assembled	contig00001	337	-	contig00001	193	+
HTU2KLI03GHAC0	Assembled	contig00004	925	-	contig00004	760	+
HTU2KLI03GP0GE	Singleton
HTU2KLI03GCYQ8	Assembled	contig00022	75	+	contig00022	347	-
HTU2KLI03FPA2H	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03FJQ67	Assembled	contig00026	47	+	contig00026	171	-
HTU2KLI03GIZKY	Assembled	contig00033	215	+	contig00026	226	-
HTU2KLI03FP8CA	Assembled	contig00004	925	-	contig00004	765	+
HTU2KLI03GU2E3	Assembled	contig00056	27	-	contig00012	545	+
HTU2KLI03HE238	Assembled	contig00002	996	-	contig00002	642	+
HTU2KLI03GC62A	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03G7QNW	Assembled	contig00001	1554	-	contig00001	1323	+
HTU2KLI03GSOKV	Assembled	contig00002	867	+	contig00002	1147	-
HTU2KLI03GFPB5	Assembled	contig00003	871	+	contig00003	1002	-
HTU2KLI03GMPLY	Assembled	contig00004	42	+	contig00004	177	-
HTU2KLI03FO4YY	Assembled	contig00033	126	-	contig00004	997	+
HTU2KLI03F9FUA	Singleton
HTU2KLI03GDNAY	PartiallyAssembled	contig00033	216	+	contig00026	139	-
HTU2KLI03FNGHP	Singleton
HTU2KLI03HB7QX	Assembled	contig00003	1073	-	contig00003	897	+
HTU2KLI03GSQ3F	Assembled	contig00012	545	+	contig00012	640	-
HTU2KLI03HF2BU	Assembled	contig00004	247	+	contig00004	635	-
HTU2KLI03HA3IY	Assembled	contig00002	1310	-	contig00002	1053	+
HTU2KLI03G5G0G	Assembled	contig00012	545	+	contig00056	27	-
HTU2KLI03G9P8C	Singleton
HTU2KLI03GJ3NI	Assembled	contig00001	1300	+	contig00001	1506	-
HTU2KLI03GTLPI	Assembled	contig00001	1504	-	contig00001	1298	+
HTU2KLI03F9KSJ	Assembled	contig00004	765	+	contig00004	926	-
HTU2KLI03GSF14	Assembled	contig00010	566	+	contig00010	693	-
HTU2KLI03GH1IS	Assembled	contig00010	563	+	contig00010	690	-
HTU2KLI03GCSB0	Assembled	contig00059	1	-	contig00004	832	+
HTU2KLI03F4VL0	Assembled	contig00061	5	-	contig00012	452	+
HTU2KLI03GRIPC	TooShort
HTU2KLI03GB8AW	PartiallyAssembled	contig00001	1181	-	contig00001	965	+
HTU2KLI03F0NHB	Assembled	contig00059	9	+	contig00033	283	-
HTU2KLI03G03HR	Assembled	contig00010	563	+	contig00010	694	-
HTU2KLI03HAR76	Assembled	contig00002	1103	+	contig00002	1167	-
HTU2KLI03G7AYK	Assembled	contig00033	218	+	contig00026	222	-
HTU2KLI03GK2EQ	Assembled	contig00001	1184	-	contig00001	1066	+
HTU2KLI03GXJQ2	Assembled	contig00012	641	-	contig00012	545	+
HTU2KLI03FJ1Q6	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03HE31I	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03F4BTZ	PartiallyAssembled	contig00001	1506	-	contig00001	1350	+
HTU2KLI03GM7YT	Assembled	contig00033	289	-	contig00004	1112	+
HTU2KLI03G2PHW	Assembled	contig00002	685	+	contig00002	884	-
HTU2KLI03G1NRR	PartiallyAssembled	contig00022	382	-	contig00022	114	+
HTU2KLI03GLWSU	Assembled	contig00001	723	-	contig00001	420	+
HTU2KLI03GM9GO	Singleton
HTU2KLI03FPL5Z	Assembled	contig00033	164	-	contig00004	966	+
HTU2KLI03GBDO6	Assembled	contig00001	1500	-	contig00001	1313	+
HTU2KLI03F16XZ	Assembled	contig00012	545	+	contig00012	634	-
HTU2KLI03GK67R	Assembled	contig00003	648	+	contig00003	1067	-
HTU2KLI03F9GB5	Singleton
HTU2KLI03HFV8A	Assembled	contig00002	613	+	contig00002	824	-
HTU2KLI03FM8U4	Assembled	contig00010	688	-	contig00010	588	+
HTU2KLI03FSKA0	Assembled	contig00004	1109	+	contig00026	2	-
HTU2KLI03HDJ2V	Assembled	contig00004	274	+	contig00004	524	-
HTU2KLI03GWOF0	Assembled	contig00033	137	-	contig00004	990	+
HTU2KLI03FXM0C	Assembled	contig00002	431	+	contig00002	802	-
HTU2KLI03F6MXN	Assembled	contig00040	225	-	contig00040	1	+
HTU2KLI03F184Y	Assembled	contig00002	829	-	contig00002	533	+
HTU2KLI03FN6R8	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03HGE1Q	Assembled	contig00002	1017	-	contig00002	816	+
HTU2KLI03GYVDT	PartiallyAssembled	contig00034	266	+	contig00053	114	-
HTU2KLI03HEV6Z	Assembled	contig00061	5	-	contig00012	545	+
HTU2KLI03GW9EJ	Assembled	contig00002	1101	+	contig00002	1319	-
HTU2KLI03GZUZX	Assembled	contig00002	489	+	contig00002	924	-
HTU2KLI03FNZD1	Assembled	contig00003	1073	-	contig00003	729	+
HTU2KLI03GAYL4	Assembled	contig00006	741	-	contig00006	581	+
HTU2KLI03GV46G	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03FX8D0	Assembled	contig00022	346	-	contig00022	73	+
HTU2KLI03GYNIH	PartiallyAssembled	contig00011	604	-	contig00011	487	+
HTU2KLI03FK7VH	Assembled	contig00022	157	+	contig00022	359	-
HTU2KLI03GUW3M	Assembled	contig00022	354	-	contig00022	82	+
HTU2KLI03GB0WD	Singleton
HTU2KLI03HDPMS	Assembled	contig00007	449	+	contig00007	566	-
HTU2KLI03GG4MF	Assembled	contig00002	538	+	contig00002	755	-
HTU2KLI03FL52W	Singleton
HTU2KLI03GTQCY	Assembled	contig00003	513	-	contig00003	226	+
HTU2KLI03GWW84	Assembled	contig00026	237	-	contig00033	271	+
HTU2KLI03G9IQ8	Assembled	contig00012	545	+	contig00056	27	-
HTU2KLI03GOPL3	Assembled	contig00012	641	-	contig00012	545	+
HTU2KLI03FU28O	PartiallyAssembled	contig00007	449	+	contig00007	564	-
HTU2KLI03G5D35	Assembled	contig00007	572	-	contig00007	447	+
HTU2KLI03GY0L3	PartiallyAssembled	contig00010	686	-	contig00010	644	+
HTU2KLI03F774T	Assembled	contig00003	439	-	contig00003	259	+
HTU2KLI03FNN37	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03FR0PI	Assembled	contig00001	1185	-	contig00001	930	+
HTU2KLI03GR3EC	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03FKJQG	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03HB2KE	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03GBGJQ	Assembled	contig00022	384	-	contig00022	191	+
HTU2KLI03FS3Y9	Assembled	contig00012	545	+	contig00022	240	-
HTU2KLI03GC26S	PartiallyAssembled	contig00012	639	-	contig00012	545	+
HTU2KLI03FNBFW	Assembled	contig00001	930	+	contig00001	1185	-
HTU2KLI03G03XA	Assembled	contig00022	379	-	contig00012	640	+
HTU2KLI03G7661	Singleton
HTU2KLI03F9WOC	PartiallyAssembled	contig00002	1062	+	contig00002	1317	-
HTU2KLI03FPCQB	Assembled	contig00012	545	+	contig00022	231	-
HTU2KLI03FWZ6L	PartiallyAssembled	contig00012	640	-	contig00012	545	+
HTU2KLI03FYJM7	Assembled	contig00012	640	-	contig00012	545	+
HTU2KLI03GNBB1	Assembled	contig00001	1037	-	contig00001	875	+
HTU2KLI03GWRZL	Assembled	contig00022	73	+	contig00022	194	-
HTU2KLI03FRIG2	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03G0A5R	Assembled	contig00003	871	+	contig00003	1076	-
HTU2KLI03FUJ8V	Assembled	contig00022	344	-	contig00022	230	+
HTU2KLI03GKH0M	Assembled	contig00002	533	+	contig00002	827	-
HTU2KLI03HE24L	Assembled	contig00004	454	+	contig00004	674	-
HTU2KLI03GER05	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03G8FB4	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03FSWLS	PartiallyAssembled	contig00006	842	-	contig00006	587	+
HTU2KLI03GHF1J	Assembled	contig00012	545	+	contig00012	640	-
HTU2KLI03GOUU4	Assembled	contig00022	306	-	contig00022	117	+
HTU2KLI03FM9JW	Assembled	contig00002	733	-	contig00002	393	+
HTU2KLI03FSPNQ	Assembled	contig00010	349	+	contig00010	532	-
HTU2KLI03FYX50	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03GWLKL	Singleton
HTU2KLI03F8JYF	Assembled	contig00001	1066	+	contig00001	1218	-
HTU2KLI03FPUOS	Assembled	contig00010	173	+	contig00010	301	-
HTU2KLI03HB965	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03F8JG9	Assembled	contig00017	271	+	contig00017	407	-
HTU2KLI03GWIVA	Assembled	contig00022	261	-	contig00022	73	+
HTU2KLI03G2R0G	Assembled	contig00056	29	-	contig00012	545	+
HTU2KLI03GMX89	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03GBIPG	Assembled	contig00058	3	-	contig00004	826	+
HTU2KLI03F6X1F	Assembled	contig00001	128	+	contig00001	335	-
HTU2KLI03GX4FW	Assembled	contig00001	1184	-	contig00001	1070	+
HTU2KLI03FM4O7	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03F6R3R	Assembled	contig00022	115	+	contig00022	347	-
HTU2KLI03FOL81	Assembled	contig00004	411	+	contig00004	672	-
HTU2KLI03F087F	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03G92TV	Assembled	contig00022	375	-	contig00022	78	+
HTU2KLI03HE104	Assembled	contig00012	545	+	contig00022	37	-
HTU2KLI03GCNT7	Assembled	contig00004	924	-	contig00004	831	+
HTU2KLI03FI70V	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03FJBBV	Assembled	contig00001	930	+	contig00001	1210	-
HTU2KLI03HFMO7	PartiallyAssembled	contig00012	549	+	contig00060	3	-
HTU2KLI03GLLPK	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03F26KX	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03HBC2K	Assembled	contig00004	250	+	contig00004	460	-
HTU2KLI03GKJ4P	Assembled	contig00001	1067	+	contig00001	1217	-
HTU2KLI03FWVJU	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03GJCV2	Assembled	contig00010	566	+	contig00010	691	-
HTU2KLI03GTJXC	Assembled	contig00022	355	-	contig00022	73	+
HTU2KLI03FRUPY	Assembled	contig00004	42	+	contig00004	442	-
HTU2KLI03FL9M1	Assembled	contig00026	339	-	contig00033	218	+
HTU2KLI03G73F6	Assembled	contig00001	1185	-	contig00001	930	+
HTU2KLI03FTC8Y	Assembled	contig00004	458	-	contig00004	102	+
HTU2KLI03GO0ZC	Assembled	contig00022	347	-	contig00022	115	+
HTU2KLI03G42R4	PartiallyAssembled	contig00011	604	-	contig00011	487	+
HTU2KLI03GP8O8	PartiallyAssembled	contig00003	874	+	contig00003	1031	-
HTU2KLI03G90OC	Assembled	contig00062	1	-	contig00004	1112	+
HTU2KLI03FIVCP	Assembled	contig00022	346	-	contig00022	115	+
HTU2KLI03HCZBN	Assembled	contig00004	1109	+	contig00033	285	-
HTU2KLI03FVZMF	Assembled	contig00002	733	-	contig00002	533	+
HTU2KLI03G0GGF	Assembled	contig00033	289	-	contig00033	64	+
HTU2KLI03G81T5	Assembled	contig00056	31	-	contig00012	545	+
HTU2KLI03GMD6G	Assembled	contig00004	989	+	contig00033	211	-
HTU2KLI03G0JFU	TooShort
HTU2KLI03HEUOG	Assembled	contig00012	545	+	contig00012	640	-
HTU2KLI03FZ43D	Assembled	contig00004	642	-	contig00004	255	+
HTU2KLI03HFBPT	Singleton
HTU2KLI03GGP1L	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03F400Y	Assembled	contig00012	545	+	contig00056	6	-
HTU2KLI03GQQE5	Assembled	contig00001	930	+	contig00001	1185	-
HTU2KLI03FOZCK	Assembled	contig00033	289	-	contig00033	75	+
HTU2KLI03HIBX6	Assembled	contig00002	1389	-	contig00002	1076	+
HTU2KLI03FVTKA	Assembled	contig00033	216	+	contig00026	206	-
HTU2KLI03FM9QB	Singleton
HTU2KLI03G6VSF	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03GOWHY	Assembled	contig00002	1104	+	contig00002	1319	-
HTU2KLI03GGZXL	Assembled	contig00007	451	+	contig00007	568	-
HTU2KLI03GJBF7	Assembled	contig00001	1067	+	contig00001	1182	-
HTU2KLI03F1LMU	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03GWHRU	Assembled	contig00002	538	+	contig00002	945	-
HTU2KLI03G0NIX	Assembled	contig00026	223	-	contig00033	216	+
HTU2KLI03GQGJ1	Assembled	contig00001	1323	+	contig00001	1506	-
HTU2KLI03HFYW9	Assembled	contig00001	1543	-	contig00001	1456	+
HTU2KLI03G60G6	Assembled	contig00022	347	-	contig00022	73	+
HTU2KLI03G86CP	TooShort
HTU2KLI03HBTH2	Assembled	contig00022	82	-	contig00012	545	+
HTU2KLI03FK20T	Assembled	contig00002	796	-	contig00002	516	+
HTU2KLI03FSAYB	Assembled	contig00022	73	+	contig00022	356	-
HTU2KLI03GFDZT	Assembled	contig00004	1112	+	contig00033	287	-
HTU2KLI03F9554	Assembled	contig00033	164	-	contig00004	1110	+
HTU2KLI03GFWGG	Assembled	contig00033	108	+	contig00026	144	-
HTU2KLI03GTH87	Assembled	contig00022	73	+	contig00022	344	-
HTU2KLI03F3M6S	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03F0YL6	Assembled	contig00033	107	+	contig00033	250	-
HTU2KLI03FLZ6T	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03G647C	Assembled	contig00022	73	+	contig00022	343	-
HTU2KLI03HILFL	Assembled	contig00004	43	+	contig00004	462	-
HTU2KLI03G22YM	Assembled	contig00001	1070	+	contig00001	1220	-
HTU2KLI03GPQWG	Assembled	contig00056	31	-	contig00012	545	+
HTU2KLI03FO1BZ	PartiallyAssembled	contig00059	5	-	contig00004	937	+
HTU2KLI03FSTE6	PartiallyAssembled	contig00012	545	+	contig00012	639	-
HTU2KLI03GYAKV	Assembled	contig00029	119	+	contig00029	302	-
HTU2KLI03FIBK6	Assembled	contig00022	78	+	contig00022	345	-
HTU2KLI03GK5EX	Assembled	contig00001	1506	-	contig00001	1234	+
HTU2KLI03GCPTD	Assembled	contig00012	545	+	contig00022	231	-
HTU2KLI03G9TW4	Assembled	contig00004	1102	+	contig00033	286	-
HTU2KLI03G6H9G	Assembled	contig00002	998	-	contig00002	768	+
HTU2KLI03G1MXJ	Assembled	contig00022	268	-	contig00022	121	+
HTU2KLI03GH335	Assembled	contig00010	563	+	contig00010	694	-
HTU2KLI03GTCRG	Assembled	contig00057	6	-	contig00012	545	+
HTU2KLI03FLK97	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03GMTAD	Assembled	contig00012	545	+	contig00012	641	-
HTU2KLI03GRTVE	Assembled	contig00022	341	-	contig00012	594	+
HTU2KLI03FL20T	Assembled	contig00003	1074	-	contig00003	715	+
HTU2KLI03FSWFW	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03GXIAV	Assembled	contig00010	695	-	contig00010	566	+
HTU2KLI03GBSFY	Assembled	contig00012	545	+	contig00056	31	-
HTU2KLI03G736H	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03HHGS7	Assembled	contig00059	9	+	contig00033	286	-
HTU2KLI03F7X20	Assembled	contig00012	545	+	contig00061	5	-
HTU2KLI03FT0WD	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03GLYNT	Assembled	contig00012	545	+	contig00056	29	-
HTU2KLI03G4J1F	Assembled	contig00026	1	-	contig00033	107	+
HTU2KLI03G4U29	Singleton
HTU2KLI03HGHRM	Assembled	contig00010	347	+	contig00010	660	-
HTU2KLI03GX99X	Assembled	contig00004	674	-	contig00004	370	+
HTU2KLI03FTU46	Singleton
HTU2KLI03FIM0V	Assembled	contig00001	1324	+	contig00001	1507	-
HTU2KLI03GXDNM	PartiallyAssembled	contig00004	992	+	contig00004	1117	-
HTU2KLI03G1Y7Z	Assembled	contig00004	255	+	contig00004	527	-
HTU2KLI03GFI7O	Assembled	contig00033	216	+	contig00026	222	-
HTU2KLI03GHEN0	Assembled	contig00022	347	-	contig00012	632	+
HTU2KLI03GRD8B	Assembled	contig00003	648	+	contig00003	1064	-
HTU2KLI03FQ4EA	Outlier
HTU2KLI03FIRLA	Singleton
HTU2KLI03FKM5D	PartiallyAssembled	contig00001	731	+	contig00001	978	-
HTU2KLI03GR6X3	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03G7HPD	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03FZO7J	Assembled	contig00012	545	+	contig00056	33	-
HTU2KLI03GMHBZ	Assembled	contig00056	32	-	contig00012	545	+
HTU2KLI03F42DF	Assembled	contig00012	545	+	contig00056	53	-
HTU2KLI03GX3PI	Assembled	contig00002	533	+	contig00002	941	-
HTU2KLI03HFJCX	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03F5TMV	Assembled	contig00001	1346	+	contig00001	1506	-
HTU2KLI03HF4ZK	Assembled	contig00002	1098	+	contig00002	1285	-
HTU2KLI03GJQJO	Assembled	contig00004	1100	+	contig00033	45	-
HTU2KLI03F73B4	Assembled	contig00012	545	+	contig00056	31	-
HTU2KLI03GIRD5	Assembled	contig00004	804	+	contig00004	928	-
HTU2KLI03GYUOO	TooShort
HTU2KLI03GD1JB	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03FMRYD	Assembled	contig00004	987	+	contig00033	2	-
HTU2KLI03GVGUC	Assembled	contig00002	668	-	contig00002	439	+
HTU2KLI03FSIFF	Assembled	contig00004	42	+	contig00004	374	-
HTU2KLI03GYHWZ	TooShort
HTU2KLI03GRYZT	Assembled	contig00001	1320	+	contig00001	1508	-
HTU2KLI03GG1WX	Assembled	contig00001	1185	-	contig00001	1066	+
HTU2KLI03GFLSF	TooShort
HTU2KLI03FMU2R	Assembled	contig00001	733	+	contig00001	910	-
HTU2KLI03HC866	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03GEMD0	Assembled	contig00004	1110	+	contig00026	8	-
HTU2KLI03GW8WR	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03FVAJM	Assembled	contig00027	1	+	contig00027	174	-
HTU2KLI03FLGZB	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03GE9ZY	Assembled	contig00022	347	-	contig00022	150	+
HTU2KLI03GGL6O	Assembled	contig00033	285	-	contig00004	1102	+
HTU2KLI03GR0RC	Assembled	contig00002	998	-	contig00002	562	+
HTU2KLI03GQM9B	Assembled	contig00012	545	+	contig00056	32	-
HTU2KLI03GH1C6	Singleton
HTU2KLI03GQCV5	Assembled	contig00022	73	+	contig00022	345	-
HTU2KLI03FWG3Z	Assembled	contig00004	42	+	contig00004	233	-
HTU2KLI03G7UMQ	Assembled	contig00033	216	+	contig00026	225	-
HTU2KLI03GEN8H	TooShort
HTU2KLI03GP8MC	Singleton
HTU2KLI03G6GNB	Assembled	contig00022	359	-	contig00022	95	+
HTU2KLI03G4YEE	Assembled	contig00002	1100	+	contig00002	1310	-
HTU2KLI03F2PQC	Assembled	contig00041	164	-	contig00041	75	+
HTU2KLI03GGR4A	Assembled	contig00056	33	-	contig00012	547	+
HTU2KLI03GH89A	Assembled	contig00012	545	+	contig00012	640	-
HTU2KLI03HBX6C	Assembled	contig00012	545	+	contig00012	619	-
HTU2KLI03FT4XA	Assembled	contig00007	449	+	contig00007	566	-
HTU2KLI03F43WM	Assembled	contig00002	645	+	contig00002	1013	-
HTU2KLI03FYJK7	Assembled	contig00017	271	+	contig00017	411	-
HTU2KLI03GITMJ	Assembled	contig00026	241	-	contig00033	107	+
HTU2KLI03G9Y4L	Assembled	contig00012	545	+	contig00056	28	-
HTU2KLI03GJ1BP	Assembled	contig00033	218	+	contig00026	208	-
HTU2KLI03FLY25	Assembled	contig00056	33	-	contig00012	545	+
HTU2KLI03GI48J	Assembled	contig00056	22	-	contig00012	545	+
HTU2KLI03FSK9B	Assembled	contig00012	545	+	contig00012	640	-
HTU2KLI03GUAQW	Assembled	contig00007	568	-	contig00007	449	+
